home_country,source_currency,dest_currency,channel,amount_src,amount_usd,fee,exchange_rate_src_to_dest,location_mismatch,kyc_tier,account_age_days,device_trust_score,risk_score_internal,txn_velocity_24h,corridor_risk,day_of_week,year,is_fraud
3,2,0,0,278.19,278.19,4.25,1.351351,0,2,263,0.522,0.223,0,0.0,1,2022,0
0,0,5,3,208.51,154.29,4.24,12.758621,0,2,947,0.475,0.268,1,0.0,1,2022,0
3,2,1,1,160.33,160.33,2.7,7.142857,0,0,367,0.939,0.176,0,0.0,1,2022,0
3,2,2,1,59.41,59.41,2.22,0.925926,0,2,147,0.551,0.391,0,0.0,5,2022,0
3,2,4,1,200.96,200.96,3.61,83.333333,0,0,257,0.894,0.257,0,0.0,5,2022,0
3,2,3,1,526.9,526.9,8.75,0.8,0,1,616,0.702,0.361,0,0.0,5,2022,0
0,0,3,1,149.24,110.44,2.33,0.592,0,2,947,0.625,0.268,0,0.0,5,2022,0
0,0,4,3,276.51,204.62,5.59,61.666667,0,2,1041,0.867,0.245,1,0.12,5,2022,0
3,2,2,1,99.52,99.52,2.41,0.925926,0,0,367,0.939,0.176,0,0.0,5,2022,0
3,2,7,3,302.55,302.55,5.26,58.823529,0,2,1016,0.944,0.247,0,0.1,5,2022,1
3,2,6,1,187.84,187.84,3.14,1111.111111,0,0,257,0.894,0.257,0,0.25,5,2022,0
3,2,8,1,9998.43,9998.43,151.63,1.0,0,2,1018,0.934,0.087,0,0.0,5,2022,0
3,2,1,3,171.86,171.86,2.96,7.142857,0,2,298,0.336,0.166,0,0.0,6,2022,0
1,1,2,1,322.24,410.97,110.92,1.157407,0,3,4,0.68,0.407,0,0.05,6,2022,0
3,2,4,0,87.81,87.81,2.4,83.333333,0,2,147,0.401,0.391,1,0.0,6,2022,0
3,2,0,3,9991.85,9991.85,151.39,1.351351,0,0,257,0.894,0.257,0,0.0,6,2022,0
3,2,3,1,309.39,309.39,5.54,0.8,0,2,1016,0.944,0.247,0,0.0,6,2022,0
3,2,5,3,260.49,260.49,4.85,17.241379,0,0,367,0.939,0.176,0,0.2,6,2022,0
3,2,3,1,87.5,87.5,2.31,0.8,0,2,1018,0.784,0.087,0,0.0,6,2022,0
3,2,6,1,254.76,254.76,4.75,1111.111111,1,2,298,0.336,0.166,0,0.25,4,2022,0
3,2,0,1,326.05,326.05,5.85,1.351351,0,2,263,0.522,0.223,0,0.0,4,2022,0
0,0,6,0,293.42,217.13,5.81,822.222222,0,2,853,0.68,0.29,0,0.0,4,2022,0
3,2,6,3,208.25,208.25,4.3,1111.111111,1,0,367,0.939,0.176,0,0.25,4,2022,0
3,2,6,3,121.71,121.71,3.06,1111.111111,0,2,298,0.186,0.166,0,0.25,4,2022,0
3,2,3,1,39.5,39.5,1.3,0.8,0,2,1018,0.934,0.087,0,0.0,4,2022,0
3,2,8,1,121.06,121.06,3.04,1.0,0,2,147,0.551,0.391,0,0.0,4,2022,0
3,2,0,1,204.53,204.53,4.61,1.351351,0,2,263,0.522,0.223,0,0.0,4,2022,0
0,0,1,3,76.26,56.43,3.89,5.285714,0,2,1041,0.867,0.245,0,0.0,4,2022,0
0,0,5,1,149.15,110.37,3.63,12.758621,0,2,366,0.662,0.225,0,0.0,4,2022,0
3,2,3,3,46.16,46.16,1.0,0.8,0,2,1018,0.934,0.087,0,0.0,4,2022,0
3,2,6,1,97.81,97.81,3.11,1111.111111,0,2,147,0.551,0.391,0,0.25,4,2022,0
3,2,0,1,150.59,150.59,3.38,1.351351,1,2,1016,0.944,0.247,0,0.0,0,2022,0
3,2,8,1,232.66,232.66,4.31,1.0,0,2,263,0.522,0.223,0,0.0,0,2022,0
3,2,3,0,91.61,91.61,1.63,0.8,0,2,263,0.522,0.223,0,0.0,0,2022,0
3,2,8,1,61.27,61.27,1.79,1.0,0,0,367,0.939,0.176,0,0.0,0,2022,0
0,0,1,3,146.2,108.19,2.67,5.285714,0,2,172,0.881,0.199,0,0.0,0,2022,0
1,1,3,1,291.49,364.36,4.34,1.0,0,2,4,0.892,0.407,0,0.0,0,2022,0
3,2,2,1,307.68,307.68,5.25,0.925926,0,2,263,0.522,0.223,0,0.0,0,2022,0
1,1,7,3,93.99,117.49,2.15,73.529412,0,2,4,0.892,0.407,0,0.0,0,2022,0
1,1,2,1,126.01,157.51,3.4,1.157407,0,2,4,0.892,0.407,0,0.05,2,2022,0
3,2,7,1,165.91,165.91,3.46,58.823529,0,0,367,0.939,0.176,0,0.1,7,0,0
0,0,3,0,115.49,85.46,3.2,0.592,0,2,853,0.83,0.29,0,0.0,2,2022,0
1,1,8,3,46.51,58.14,1.72,1.25,0,2,4,0.892,0.407,1,0.0,2,2022,0
3,2,2,1,179.75,179.75,3.7,0.925926,0,2,1016,0.944,0.247,0,0.0,2,2022,0
3,2,8,3,254.28,254.28,4.22,1.0,0,2,1018,0.784,0.087,0,0.0,2,2022,0
3,2,8,1,102.54,102.54,2.65,1.0,1,0,367,0.939,0.176,0,0.0,2,2022,0
1,1,2,3,146.41,183.02,3.23,1.157407,1,2,4,0.892,0.407,0,0.05,2,2022,1
3,2,1,1,400.46,400.46,6.69,7.142857,0,2,147,0.551,0.391,1,0.0,2,2022,0
3,2,7,1,240.72,240.72,4.18,58.823529,0,2,147,0.551,0.391,0,0.1,2,2022,0
3,2,4,1,255.06,410.97,110.92,83.333333,0,3,263,0.68,0.223,0,0.0,2,2022,0
1,1,0,3,93.5,116.87,3.36,1.689189,0,2,4,0.892,0.407,0,0.0,2,2022,0
3,2,2,3,67.19,67.19,-1.0,0.925926,1,2,263,-0.1,0.223,0,0.0,3,2022,0
3,2,2,1,1071.92,1071.92,17.53,0.925926,0,2,298,0.336,0.166,0,0.0,3,2022,0
0,0,1,3,9997.3,7398.0,151.89,5.285714,0,0,63,0.853,0.13,0,0.0,3,2022,0
0,0,8,3,314.46,232.7,5.88,0.74,0,2,947,0.625,0.268,0,0.0,3,2022,0
1,1,3,1,925.39,1156.74,14.22,1.0,0,2,4,0.892,0.407,0,0.0,3,2022,0
0,0,7,3,115.25,85.28,3.0,43.529412,0,1,615,0.515,0.355,0,0.0,3,2022,0
3,2,3,1,152.75,152.75,3.35,0.8,0,2,263,0.522,0.223,5,0.0,3,2022,0
3,2,8,3,71.62,71.62,2.69,1.0,0,2,1016,0.944,0.247,0,0.0,1,2022,0
3,2,6,1,509.65,509.65,9.13,1111.111111,0,2,147,0.551,0.391,0,0.25,1,2022,0
3,2,8,1,190.42,190.42,-1.0,1.0,0,2,298,-0.1,0.166,0,0.0,1,2022,0
1,1,0,0,111.18,138.97,2.66,1.689189,0,2,4,0.742,0.407,0,0.0,1,2022,0
1,1,5,1,499.76,624.7,7.42,21.551724,0,2,4,0.892,0.407,7,0.0,5,2022,0
3,2,0,3,442.22,442.22,7.36,1.351351,0,2,830,0.799,0.102,0,0.0,5,2022,0
3,2,2,3,158.26,158.26,2.85,0.925926,0,2,263,0.522,0.223,0,0.0,5,2022,0
