home_country,source_currency,dest_currency,channel,amount_src,amount_usd,fee,exchange_rate_src_to_dest,location_mismatch,kyc_tier,account_age_days,device_trust_score,risk_score_internal,txn_velocity_24h,corridor_risk,day_of_week,year,is_fraud
US,USD,CAD,ATM,278.19,278.19,4.25,1.351351,FALSE,standard,263,0.522,0.223,0,0,Monday,2022,0
CA,CAD,MXN,web,208.51,154.29,4.24,12.758621,FALSE,standard,947,0.475,0.268,1,0,Monday,2022,0
US,USD,CNY,mobile,160.33,160.33,2.7,7.142857,FALSE,enhanced,367,0.939,0.176,0,0,Monday,2022,0
US,USD,EUR,mobile,59.41,59.41,2.22,0.925926,FALSE,standard,147,0.551,0.391,0,0,Tuesday,2022,0
US,USD,INR,mobile,200.96,200.96,3.61,83.333333,FALSE,enhanced,257,0.894,0.257,0,0,Tuesday,2022,0
US,USD,GBP,mobile,526.9,526.9,8.75,0.8,FALSE,low,616,0.702,0.361,0,0,Tuesday,2022,0
CA,CAD,GBP,mobile,149.24,110.44,2.33,0.592,FALSE,standard,947,0.625,0.268,0,0,Tuesday,2022,0
CA,CAD,INR,web,276.51,204.62,5.59,61.666667,FALSE,standard,1041,0.867,0.245,1,0.12,Tuesday,2022,0
US,USD,EUR,mobile,99.52,99.52,2.41,0.925926,FALSE,enhanced,367,0.939,0.176,0,0,Tuesday,2022,0
US,USD,PHP,web,302.55,302.55,5.26,58.823529,FALSE,standard,1016,0.944,0.247,0,0.1,Tuesday,2022,1
US,USD,NGN,mobile,187.84,187.84,3.14,1111.111111,FALSE,enhanced,257,0.894,0.257,0,0.25,Tuesday,2022,0
US,USD,USD,mobile,9998.43,9998.43,151.63,1,FALSE,standard,1018,0.934,0.087,0,0,Tuesday,2022,0
US,USD,CNY,WEB,171.86,171.86,2.96,7.142857,FALSE,standard,298,0.336,0.166,0,0,Wednesday,2022,0
UK,GBP,EUR,mobile,322.24,410.97,110.92,1.157407,FALSE,unknown,4,0.68,0.407,0,0.05,Wednesday,2022,0
US,USD,INR,ATM,87.81,87.81,2.4,83.333333,FALSE,standard,147,0.401,0.391,1,0,Wednesday,2022,0
